feature_set,train_cohort,test_cohort,cell_type,status,reason,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
full,ADNI,ADNI,diagonal_oof,ok,,,,,,,
full,ADNI,ADRC,external,ok,,3.0,3.0,17.0,17.0,1.0,1.0
full,ADNI,HABS,external,ok,,3.0,3.0,17.0,17.0,1.0,1.0
full,ADNI,AD_DECODE,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,17.0,20.0,1.0,1.0
full,ADRC,ADNI,external,ok,,3.0,3.0,17.0,17.0,1.0,1.0
full,ADRC,ADRC,diagonal_oof,ok,,,,,,,
full,ADRC,HABS,external,ok,,3.0,3.0,17.0,17.0,1.0,1.0
full,ADRC,AD_DECODE,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,17.0,20.0,1.0,1.0
full,HABS,ADNI,external,ok,,3.0,3.0,17.0,17.0,1.0,1.0
full,HABS,ADRC,external,ok,,3.0,3.0,17.0,17.0,1.0,1.0
full,HABS,HABS,diagonal_oof,ok,,,,,,,
full,HABS,AD_DECODE,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,17.0,20.0,1.0,1.0
full,AD_DECODE,ADNI,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,20.0,17.0,1.0,1.0
full,AD_DECODE,ADRC,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,20.0,17.0,1.0,1.0
full,AD_DECODE,HABS,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,20.0,17.0,1.0,1.0
full,AD_DECODE,AD_DECODE,diagonal_oof,ok,,,,,,,
full_no_cardiovascular,ADNI,ADNI,diagonal_oof,ok,,,,,,,
full_no_cardiovascular,ADNI,ADRC,external,ok,,3.0,3.0,14.0,14.0,1.0,1.0
full_no_cardiovascular,ADNI,HABS,external,ok,,3.0,3.0,14.0,14.0,1.0,1.0
full_no_cardiovascular,ADNI,AD_DECODE,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,14.0,17.0,1.0,1.0
full_no_cardiovascular,ADRC,ADNI,external,ok,,3.0,3.0,14.0,14.0,1.0,1.0
full_no_cardiovascular,ADRC,ADRC,diagonal_oof,ok,,,,,,,
full_no_cardiovascular,ADRC,HABS,external,ok,,3.0,3.0,14.0,14.0,1.0,1.0
full_no_cardiovascular,ADRC,AD_DECODE,external,incompatible_dimensions,Input dimensions do not match,3.0,3.0,14.0,17.0,1.0,1.0
