train_cohort,test_cohort,feature_set,cell_type,status,reason,model_path,test_graph_path,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
ADNI,ADNI,imaging_only,diagonal_oof,ok,,,,,,,,,
ADNI,ADRC,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
ADNI,HABS,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
ADNI,AD_DECODE,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,ADNI,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,ADRC,imaging_only,diagonal_oof,ok,,,,,,,,,
ADRC,HABS,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,AD_DECODE,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
HABS,ADNI,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
HABS,ADRC,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
HABS,HABS,imaging_only,diagonal_oof,ok,,,,,,,,,
HABS,AD_DECODE,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,ADNI,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_addecode_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,ADRC,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_addecode_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,HABS,imaging_only,external,ok,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_addecode_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,AD_DECODE,imaging_only,diagonal_oof,ok,,,,,,,,,
ADNI,ADNI,imaging_demographics,diagonal_oof,ok,,,,,,,,,
ADNI,ADRC,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adni_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_demographics/graph_data_list_adrc_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
ADNI,HABS,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adni_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_demographics/graph_data_list_habs_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
