train_cohort,test_cohort,feature_set,cell_type,status,reason,n,MAE,RMSE,R2,r,cBAG_age_r,cBAG_age_slope,cBAG_age_intercept,model_path,test_graph_path,bias_beta_from_train_oof,bias_alpha_from_train_oof,target_normalization_used,target_mean,target_std,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
ADNI,ADNI,imaging_only,diagonal_oof,ok,,233.0,1.7925000797320854,2.237592067514865,0.8783222676274239,0.9442042498283164,-1.3600232051658168e-15,-4.553203886758897e-16,3.08088295440854e-14,,,,,,,,,,,,,
ADNI,ADRC,imaging_only,external,ok,,204.0,2.786319872739796,5.3204955415362205,0.797281365396358,0.9119154170195396,-0.1074935377416645,-0.0463983764185819,4.202671830513274,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,-0.848141929497374,64.51522865688285,True,76.1030042918455,6.414685370236268,3.0,3.0,4.0,4.0,1.0,1.0
ADNI,HABS,imaging_only,external,ok,,486.0,2.333381582059385,3.00235266801366,0.8755851966290606,0.940268088286405,-0.0968067644346534,-0.0340174661605931,2.029285773373094,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,-0.848141929497374,64.51522865688285,True,76.1030042918455,6.414685370236268,3.0,3.0,4.0,4.0,1.0,1.0
ADNI,AD_DECODE,imaging_only,external,ok,,86.0,9.668451843217944,10.114094945183217,0.6016155264247827,0.9872866142931488,-0.6437496480047312,-0.1192822645389869,15.892749884824632,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,-0.848141929497374,64.51522865688285,True,76.1030042918455,6.414685370236268,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,ADNI,imaging_only,external,ok,,316.0,5.050349993330427,7.381056547444387,-0.3060253247129034,0.6848824250251664,-0.0076079346600286,-0.0080294025903492,-2.2174784315993508,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,-0.8221926233922974,45.96416336612274,True,56.13793103448276,11.329924180076327,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,ADRC,imaging_only,diagonal_oof,ok,,145.0,3.7112680843363735,5.216082726646018,0.788049261678622,0.9083589846809966,-2.8796409701215003e-16,-1.3045980265775063e-16,1.9696987595346727e-14,,,,,,,,,,,,,
ADRC,HABS,imaging_only,external,ok,,486.0,4.001725929840473,5.072057009029873,0.6449276123954324,0.9047769970562548,0.259954666473271,0.145107060042115,-11.54202859297938,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,-0.8221926233922974,45.96416336612274,True,56.13793103448276,11.329924180076327,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,AD_DECODE,imaging_only,external,ok,,86.0,4.012805595934306,4.817826266873932,0.9096037068573192,0.987810309189119,-0.7740582335340402,-0.1615412378433701,11.897582036544335,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,-0.8221926233922974,45.96416336612274,True,56.13793103448276,11.329924180076327,3.0,3.0,4.0,4.0,1.0,1.0
HABS,ADNI,imaging_only,external,ok,,316.0,12.02888493089277,20.81634154288088,-9.38779434722044,0.3761560037660162,0.0747374444263173,0.2264090248470985,-24.41218775776264,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,-0.6752561130273518,45.37199308928587,True,67.085609135894,8.111934009922717,3.0,3.0,4.0,4.0,1.0,1.0
HABS,ADRC,imaging_only,external,ok,,204.0,14.32259161972804,79.79266128496893,-44.59480949165313,0.0758002522976813,-0.0724422466342954,-0.4886114075469382,32.09072375270515,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,-0.6752561130273518,45.37199308928587,True,67.085609135894,8.111934009922717,3.0,3.0,4.0,4.0,1.0,1.0
