train_cohort,test_cohort,feature_set,cell_type,status,reason,n,MAE,RMSE,R2,r,cBAG_age_r,cBAG_age_slope,cBAG_age_intercept,model_path,test_graph_path,bias_beta_from_train_oof,bias_alpha_from_train_oof,target_normalization_used,target_mean,target_std,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
ADNI,ADNI,full,diagonal_oof,ok,,233.0,1.3093435595461838,1.735633093549605,0.9267908904464881,0.9652900393647833,-1.412064909445121e-15,-3.7375180226101255e-16,1.758727389452743e-14,,,,,,,,,,,,,
ADNI,ADRC,full,external,ok,,204.0,4.396468473338192,6.157697993925218,0.7284647133535593,0.9173396938881797,0.1813689890477856,0.08700093515114163,-2.6368780429845744,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full/graph_data_list_adrc_all.pt,-0.8974935379966436,67.84154918186981,True,76.1030042918455,6.414685370236268,3.0,3.0,17.0,17.0,1.0,1.0
ADNI,HABS,full,external,ok,,486.0,3.4568989429442523,4.379068023925095,0.7353255428999503,0.903644552920345,0.12411114706516616,0.06301662655809544,-4.947174739619902,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,-0.8974935379966436,67.84154918186981,True,76.1030042918455,6.414685370236268,3.0,3.0,17.0,17.0,1.0,1.0
ADNI,AD_DECODE,full,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full/graph_data_list_ad_decode_all.pt,,,,,,3.0,3.0,17.0,20.0,1.0,1.0
ADRC,ADNI,full,external,ok,,316.0,9.187348639788741,12.371113868672747,-2.6688684651767067,0.5935055332145089,0.08969799384928635,0.13911859411451394,-17.89329218982263,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full/graph_data_list_adni_all.pt,-0.7116082399918288,40.06828904914164,True,56.13793103448276,11.329924180076327,3.0,3.0,17.0,17.0,1.0,1.0
ADRC,ADRC,full,diagonal_oof,ok,,145.0,3.775196196159901,5.029379764548281,0.8029507185873206,0.9139953470923027,-8.057790545912269e-16,-3.631306161809107e-16,2.0973436837355187e-14,,,,,,,,,,,,,
ADRC,HABS,full,external,ok,,486.0,9.590935123446142,12.433205811460002,-1.1336092886001858,0.7423747533819413,0.18819035350360475,0.20908674652923157,-22.145007548566568,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,-0.7116082399918288,40.06828904914164,True,56.13793103448276,11.329924180076327,3.0,3.0,17.0,17.0,1.0,1.0
ADRC,AD_DECODE,full,external,incompatible_dimensions,Input dimensions do not match,,,,,,,,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full/graph_data_list_ad_decode_all.pt,,,,,,3.0,3.0,17.0,20.0,1.0,1.0
HABS,ADNI,full,external,ok,,316.0,5.254546574273305,7.853062790880969,-0.47840244845031,0.5948779271875033,-0.09524791182622554,-0.11448747555011614,7.566951649742372,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_habs_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full/graph_data_list_adni_all.pt,-0.5590400821169863,37.33761559338121,True,67.085609135894,8.111934009922717,3.0,3.0,17.0,17.0,1.0,1.0
HABS,ADRC,full,external,ok,,204.0,8.47406465617412,28.945822040275445,-5.000138574780492,0.25514153178972787,-0.16106516656851025,-0.3821285107464909,29.347576476987665,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_habs_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full/graph_data_list_adrc_all.pt,-0.5590400821169863,37.33761559338121,True,67.085609135894,8.111934009922717,3.0,3.0,17.0,17.0,1.0,1.0
