train_cohort,test_cohort,feature_set,cell_type,status,reason,n,MAE,RMSE,R2,r,cBAG_age_r,cBAG_age_slope,cBAG_age_intercept,model_path,test_graph_path,bias_beta_from_train_oof,bias_alpha_from_train_oof,target_normalization_used,target_mean,target_std,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
ADNI,ADNI,imaging_only,diagonal_oof,ok,,233,1.7925000797320854,2.237592067514865,0.8783222676274239,0.9442042498283163,-1.3600232051658168e-15,-4.553203886758897e-16,3.08088295440854e-14,,,,,,,,,,,,,
ADNI,ADRC,imaging_only,external,ok,,204,2.786319872739796,5.3204955415362205,0.797281365396358,0.9119154170195396,-0.10749353774166454,-0.04639837641858194,4.202671830513274,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,-0.848141929497374,64.51522865688285,True,76.1030042918455,6.414685370236268,3.0,3.0,4.0,4.0,1.0,1.0
ADNI,HABS,imaging_only,external,ok,,486,2.333381582059385,3.0023526680136596,0.8755851966290606,0.940268088286405,-0.09680676443465348,-0.03401746616059312,2.029285773373094,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,-0.848141929497374,64.51522865688285,True,76.1030042918455,6.414685370236268,3.0,3.0,4.0,4.0,1.0,1.0
ADNI,AD_DECODE,imaging_only,external,ok,,86,9.668451843217944,10.114094945183215,0.6016155264247827,0.9872866142931487,-0.6437496480047312,-0.11928226453898692,15.892749884824632,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adni_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,-0.848141929497374,64.51522865688285,True,76.1030042918455,6.414685370236268,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,ADNI,imaging_only,external,ok,,316,5.050349993330427,7.381056547444387,-0.30602532471290345,0.6848824250251664,-0.007607934660028622,-0.008029402590349231,-2.2174784315993508,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,-0.8221926233922974,45.96416336612274,True,56.13793103448276,11.329924180076327,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,ADRC,imaging_only,diagonal_oof,ok,,145,3.7112680843363735,5.216082726646018,0.788049261678622,0.9083589846809966,-2.8796409701215e-16,-1.3045980265775063e-16,1.9696987595346727e-14,,,,,,,,,,,,,
ADRC,HABS,imaging_only,external,ok,,486,4.001725929840473,5.072057009029873,0.6449276123954324,0.9047769970562547,0.25995466647327103,0.14510706004211502,-11.54202859297938,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,-0.8221926233922974,45.96416336612274,True,56.13793103448276,11.329924180076327,3.0,3.0,4.0,4.0,1.0,1.0
ADRC,AD_DECODE,imaging_only,external,ok,,86,4.012805595934306,4.817826266873932,0.9096037068573193,0.987810309189119,-0.7740582335340402,-0.1615412378433701,11.897582036544335,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_adrc_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,-0.8221926233922974,45.96416336612274,True,56.13793103448276,11.329924180076327,3.0,3.0,4.0,4.0,1.0,1.0
HABS,ADNI,imaging_only,external,ok,,316,12.02888493089277,20.81634154288088,-9.387794347220439,0.3761560037660162,0.07473744442631733,0.2264090248470985,-24.412187757762638,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,-0.6752561130273518,45.37199308928587,True,67.085609135894,8.111934009922717,3.0,3.0,4.0,4.0,1.0,1.0
HABS,ADRC,imaging_only,external,ok,,204,14.32259161972804,79.79266128496893,-44.59480949165313,0.0758002522976813,-0.07244224663429547,-0.48861140754693827,32.09072375270515,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,-0.6752561130273518,45.37199308928587,True,67.085609135894,8.111934009922717,3.0,3.0,4.0,4.0,1.0,1.0
